Table of Source Codes used in CRUTEM station database

This table corresponds to the two-digit source codes are used in version CRUTEM.5.0.0.0 and all earlier versions.

Only an overall source code is given for each station, which indicates the dominant source.
For some stations, all values will have come from that single source.
For other stations, values will have come from multiple sources, and the overall source code just indicates the dominant source.

For each source, a homogeneity indicator is given, together with approximate start and end years of the period to which homogenisation may have been applied (in some cases this may be unknown or too complex to express as a simple start and end year), and any further comments.

Homogeneity indicators:
HOM00=homogeneity has not been assessed or is unknown
HOM01=homogeneity not assessed, but data comes from a reliable source (e.g. an NMS or WWR) that probably checked for obvious problems (in the sense that they wouldn't have provided series which had obviously problems).
HOM02=homogeneity assessed and inhomogeneities corrected at source (by NMS or a regional effort in e.g. Nordic countries, China etc.) but method details were not available to us
HOM03=homogeneity assessed and inhomogeneities corrected at source via documented methods
HOM04=homogeneity assessed and inhomogeneities corrected by CRU using documented methods


Source code table
00 | source_name="Not known"            | source_region=""                     | source_desc="Not known"                                | source_ref=""                     | source_link=""                                         | hom_cat="HOM00" | hom_start=""     | hom_end=""     | hom_comment=""                    

01 | source_name="University of Melbourne thesis" | source_region="S E Australia" | source_desc="Early Australian series adjusted to be compatible  with BoM's ACORN 2 reference climate series" | source_ref="" | source_link="http://www.bom.gov.au/jshess/docs/2012/ashcroft.pdf" | hom_cat="HOM03" | hom_start="1910" | hom_end="Ongoing" | hom_comment="Homogenized? Partial ; Not all later subsets from ACORN - thus not all homogenized!"

10 | source_name="WWR/CRU"              | source_region="Global"               | source_desc="1980s global temperature database construction by the Climatic Research Unit - many under new Scodes" | source_ref="Jones (1994), Jones & Moberg (2003) and Brohan et al. (2006); homogeneity of sites assessed in Jones et al. (1985, 1986)." | source_link="TR022 and TR027 - publications at http://www.cru.uea.ac.uk/st/ - also held by CRU members" | hom_cat="###############" | hom_start="" | hom_end="" | hom_comment="Homogenized? Yes # ; Mostly by comparison with reference series - documentation produced"

11 | source_name="University of Arkansas" | source_region="Manhattan"          | source_desc="Long daily temperature series for Kansas" | source_ref=""                     | source_link="https://doi.org/10.1175/2009JCLI2445.1"   | hom_cat="HOM03" | hom_start=""     | hom_end=""     | hom_comment="Homogenized? Yes ; A complex compilation of records from a wide geographical region"

30 | source_name="GHCN v2"              | source_region="Global (part)"        | source_desc="Global Historical Climatology Network (GHCN v2) dataset is now superseded by GHCN v4" | source_ref="" | source_link="https://www.ncdc.noaa.gov/data-access/land-based-station-data/land-based-datasets/global-historical-climatology-network-monthly-version-2" | hom_cat="HOM03" | hom_start="" | hom_end="" | hom_comment="Homogenized? Yes ; Subject to series length, automated homohenization used PHA"

31 | source_name="GHCN v2"              | source_region="Global (part)"        | source_desc="Global Historical Climatology Network (GHCN v2) dataset is now superseded by GHCN v4" | source_ref="" | source_link="https://www.ncdc.noaa.gov/data-access/land-based-station-data/land-based-datasets/global-historical-climatology-network-monthly-version-2" | hom_cat="HOM03" | hom_start="" | hom_end="" | hom_comment="Homogenized? Yes ; Subject to series length, automated homohenization used PHA"

32 | source_name="DECADE Project"       | source_region="Bolivia/Peru"         | source_desc="Homogenized Tx and Tn series"             | source_ref=""                     | source_link="https://www.geography.unibe.ch/research/climatology_group/research_projects/decade/index_eng.html" | hom_cat="HOM03" | hom_start="" | hom_end="" | hom_comment="Homogenized? Yes ; ACMANT3 homogenization"

33 | source_name="NACD"                 | source_region="N Atlantic"           | source_desc="North Atlantic Climatological Dataset - several variables included" | source_ref="Frich et al. (1996)" | source_link="https://www.dmi.dk/fileadmin/Rapporter/SR/sr96-1.pdf" | hom_cat="HOM03" | hom_start="" | hom_end="ca. 1990" | hom_comment="Homogenized? Yes ; SNHT homogenization"

34 | source_name="NORDKLIM"             | source_region="Nordic countries"     | source_desc="Nordic region climate data - several variables included" | source_ref="Tuomenvirta et al. (2001)" | source_link="https://www.met.no/publikasjoner/met-report/met-report-2001/_/attachment/download/4d30d9f1-5a34-4ee3-916c-777d92343a50:539d36aea91a7d0f28042339b7b7b745bba20b81/MET-report-08-2001.pdf" | hom_cat="HOM03" | hom_start="ca. 1890" | hom_end="ca. 2000" | hom_comment="Homogenized? Yes ; SNHT homogenization?"

35 | source_name="GloSAT"               | source_region="Global"               | source_desc="Currently a source code indicating work in progress for the GloSAT Project" | source_ref="" | source_link=""                           | hom_cat=""      | hom_start=""     | hom_end=""     | hom_comment="Homogenized? Yes"    

36 | source_name="CHTD"                 | source_region="Canada"               | source_desc="Canadian Historical Temperature Database - see AHCCD below" | source_ref="Vincent & Gullett (1999)" | source_link="https://doi.org/10.1002/(SICI)1097-0088(199910)19:12<1375::AID-JOC427>3.0.CO;2-0" | hom_cat="HOM03" | hom_start="" | hom_end="" | hom_comment="Homogenized? Yes ; Canadian Regression Model"

37 | source_name="WWR"                  | source_region="Global"               | source_desc="World Weather Records decadal release - processed 2006 - decade 1991-2000" | source_ref="" | source_link="https://www.ncdc.noaa.gov/wdcmet/data-access-search-viewer-tools/world-weather-records-wwr-clearinghouse" | hom_cat="HOM01" | hom_start="" | hom_end="" | hom_comment="Homogenized? No ; WWR series not without problems"

